Title,Description,Manifest,Year,Place
"Urlo e Gridobeat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0174/manifest.json","1966","Milano"
"Gridobeat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0173/manifest.json","1967","Milano"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0172/manifest.json","1966","Milano"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0171/manifest.json","0","Milano"
"Provo Capellone","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0175/manifest.json","1967","Roma"
"`67","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0176/manifest.json","1967","Roma"
"`67","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0178/manifest.json","1967","Roma"
"`67","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0177/manifest.json","1967","Roma"
"il canguro","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0180/manifest.json","1968","Milano"
"Amore Rabbia e ...","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0182/manifest.json","1973","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0181/manifest.json","1967","Milano"
"Tu... sei un assassino?","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0179/manifest.json","1966","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0186/manifest.json","1971","Lugano"
"Crociera imprevista","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0185/manifest.json","0","[n.d.]"
"Hemicromis","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0184/manifest.json","1971","Milano"
"Hemicromis","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0183/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0190/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0189/manifest.json","0","[n.d.]"
"Serigrafia","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0188/manifest.json","0","[n.d.]"
"Speciale Palermo pop 72","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0187/manifest.json","1972","[n.d.]"
"Per un`alternativa all`informazione e alla cultura","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0194/manifest.json","1975","Lucca"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0193/manifest.json","1977","[n.d.]"
"Bollettino di Collegamento per le Comuni & il Circuito dell`Artigianato, Agricoltura e Allevamento","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0192/manifest.json","1976","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0191/manifest.json","0","[n.d.]"
"Black/out n. unico","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0196/manifest.json","1977","Lucca"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0195/manifest.json","1977","Lucca"
"Black/out","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0199/manifest.json","1977","Lucca"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0198/manifest.json","1974","Lucca"
"Appunti dopo il convegno di Bologna","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0197/manifest.json","1977","Bologna"
"Il lavoro rende liberi e belli","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0200/manifest.json","0","[n.d.]"
"Quaderno 1. La droga","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0204/manifest.json","1970","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0203/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0202/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0201/manifest.json","0","Bologna"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0207/manifest.json","0","[n.d.]"
"West Coast Parìa","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0206/manifest.json","1975","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0208/manifest.json","0","[n.d.]"
"Superdroga settantatre","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0205/manifest.json","1973","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0212/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0211/manifest.json","0","[n.d.]"
"Children Paria","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0210/manifest.json","1973","Milano"
"Indian Paria","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0209/manifest.json","0","[n.d.]"
"The last Paria?","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0215/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0216/manifest.json","1968","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0214/manifest.json","1975","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0213/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0218/manifest.json","1971","[n.d.]"
"Colletivo cinema militante","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0217/manifest.json","1969","Torino"
"Dei","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0219/manifest.json","0","[n.d.]"
"L`unica cultura di cui vale la pena di parlare è la cultura rivoluzionaria","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0220/manifest.json","1971","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0224/manifest.json","1973","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0222/manifest.json","1972","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0223/manifest.json","1972","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0221/manifest.json","1972","[n.d.]"
,"","",,
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0227/manifest.json","1973","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0226/manifest.json","1973","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0225/manifest.json","1973","[n.d.]"
"Gianni Buttafava / Luca Crippa / Ronnie Lichtmann","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0232/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0231/manifest.json","1971","Milano"
"Dopo l`underground","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0230/manifest.json","1970","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0229/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0236/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0235/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0234/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0233/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0240/manifest.json","1971","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0239/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0238/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0237/manifest.json","1970","Milano"
"I borghesi al chiuso negli stadi","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0244/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0243/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0242/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0241/manifest.json","1971","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0248/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0247/manifest.json","1971","Milano"
"Distruggiamoci la città","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0246/manifest.json","1971","Milano"
"Come quando dove perchè il pop festival","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0245/manifest.json","1971","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0252/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0250/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0249/manifest.json","1972","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0251/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0256/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0255/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0254/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0253/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0257/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0258/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0260/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0259/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0263/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0262/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0264/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0261/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0268/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0267/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0266/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0265/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0271/manifest.json","0","Milano"
,"","",,
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0270/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0269/manifest.json","0","Milano"
,"","",,
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0276/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0274/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0273/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0279/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0278/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0277/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0283/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0282/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0281/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0280/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0287/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0286/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0285/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0284/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0291/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0290/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0289/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0288/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0295/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0294/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0293/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0292/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0299/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0298/manifest.json","0","Milano"
"[TEST]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0297/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0296/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0303/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0302/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0301/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0300/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0306/manifest.json","0","Milano"
,"","",,
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0304/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0309/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0308/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0310/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0307/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0312/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0313/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0314/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0311/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0317/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0318/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0316/manifest.json","0","Milano"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0315/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0322/manifest.json","1977","[n.d.]"
"Abat/jour","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0321/manifest.json","1977","[n.d.]"
"Gandalf il viola di versi","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0320/manifest.json","1977","Roma"
"[n.d.]","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0319/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0326/manifest.json","1977","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0325/manifest.json","1977","Roma"
"Proposta per una pubblicizz azione","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0324/manifest.json","0","[n.d.]"
"Il complotto (di Zurigo)","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0323/manifest.json","1977","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0330/manifest.json","1977","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0329/manifest.json","1977","[n.d.]"
"WAM","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0328/manifest.json","0","[n.d.]"
"Lotta Continua","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0327/manifest.json","1977","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0334/manifest.json","1972","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0333/manifest.json","1977","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0332/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0331/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0338/manifest.json","1976","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0337/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0336/manifest.json","1976","Bologna"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0335/manifest.json","1975","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0342/manifest.json","0","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0341/manifest.json","1974","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0340/manifest.json","1976","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0339/manifest.json","1976","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0346/manifest.json","0",
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0345/manifest.json","1979",
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0343/manifest.json","1976",
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0344/manifest.json","1979",
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0350/manifest.json","0",
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0349/manifest.json","0",
